Date of Comment;Country;Comment Title;FULL COMMENT;Our Comments;Service-On Board/Off Board;Punctuality;Airplane Infrastructure;Other Factors;Positive Comment;;;;;;;;;;;;;;;;;;;
2024-10-08T22:39:18.000Z;GB;Now we know how sardines feel;"I spoke with the truely Amazing Paul ! He was very patient and took his time guiding me through each stage of the booking and all with a good humour.

Thank You Paul !";;no;no;no;no;yes;;;;;;;;;;;;;;;;;;;
2024-09-09T11:06:34.000Z;UZ;Regulation (EC) No 648/2004 of the European Parliament and of the Council  of 31 March 2004;"Complaint Regarding Unreasonable Rules and Poor Service

Dear [Wizz Air] Customer Service,

I am writing to express my dissatisfaction with my recent experience with your airline. The policies and procedures I encountered were frustrating and seemed unreasonable. Additionally, the quality of service did not meet my expectations, particularly considering the budget constraints that appeared to compromise the overall experience.

I hope you take this feedback seriously and consider making improvements to provide better service to your passengers in the future.";;no;no;no;frustrating policies;no;;;;;;;;;;;;;;;;;;;
2024-10-28T09:55:48.000Z;GB;It's 4.37am waiting take off Istanbul…;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-10-30T19:00:04.000Z;GB;Terrible service experience + prices…;Destroyed our luggage and abysmal customer service;;yes;no;no;demaged luggage;no;;;;;;;;;;;;;;;;;;;
2024-10-09T22:10:39.000Z;FR;Cancelled my flight minutes before…;I have used it for traveling in more than 30 countries, I would recommend.;;no;no;no;no;yes;;;;;;;;;;;;;;;;;;;
2024-09-12T11:35:09.000Z;GB;They forced us to make a paid phonecall and did not cover it;"**Subject: Complaint Regarding Denied Boarding on Flight W4 2804 on 11/09/2024

Dear Wizz Air Customer Service,

I am writing to express my frustration and disappointment regarding an incident on September 11, 2024, at Malta International Airport. My friend and I were passengers on flight W4 2804, with a connection in Austria, and our final destination being Georgia. Unfortunately, we were denied boarding by your ground staff despite having all necessary documentation.

As UK residents with indefinite leave to remain, we are not required to have an additional visa for transit through Austria, which is confirmed by the relevant consular authorities. I presented this official information to your staff, yet they refused to acknowledge it and unjustifiably denied us boarding. This lack of knowledge and unwillingness to assist us properly is unacceptable.

Not only did this cause significant inconvenience and financial loss, but it also demonstrated a worrying lack of understanding by your staff regarding basic transit and visa regulations. I request that this matter be investigated, and appropriate actions be taken to ensure this does not happen to other passengers in the future.

I look forward to receiving your prompt response and a satisfactory resolution to this issue.

Kind regards,
Mesut Cakmak
07456363677
[Flight Number: W4 2804]
[Date: 11/09/2024]";;no;no;no;denied boarding;no;;;;;;;;;;;;;;;;;;;
2024-09-25T11:56:21.000Z;RS;Confusing website. Unnecessary membership price;Serious robbers, I threw my bag at the airport because they told me it can't get on the plane, I bought a new bag that can get on the plane, only to be told again that the bag can't get on the plane and that I have to pay the additional 70 euros, my recommendation is to avoid  idiot and take another airline;;no;no;no;luggage problem;no;;;;;;;;;;;;;;;;;;;
2024-10-01T16:58:25.000Z;GB;Delay on delay;Was supposed to fly from Bucharest to Brussels was a planned airport staff strike at Brussels so this airline decided not to cancel the flight or provide other options but to fly to Maastricht Aachen Airport (Holland) with no onward help or support to get to original location called customer services was so rude and said was putting phone down how can you land in a different country and think this is acceptable now stranded in Bucharest for 2 days with no help or options of support worst company I have ever encountered;;yes;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-09-25T15:25:32.000Z;GR;They took my money 300USD but did not…;"On our recent family trip to Venice we have experienced some technical issues when trying to do our online check-in. This has caused a lot of stress and i ended up paying for extra services. On the way to Venice we had no issues doing the online check-in, but on the way back it was impossible to check in online. I have double checked my email and the booking details to make sure it was not a mistake from my side, i have even tried to do the online check-in from a different device such as a tablet, a laptop, another phone but it was still unsuccessful. No matter what we tried we just couldn't finish the check in. At the section with the passenger passport details i could fill in everyone's information except for my daughter's details. The issues was that it wouldn't allow me to select her date of birth, the year wouldn't go higher than 2010. I've downloaded the wizz air app thinking that it would help. I never experienced this type of problem before and i didn't know what to do. I've tried to contact wizz air customer service but that was also impossible . The chat box assistant and the customer service number was unavailable. We also tried to scan her passport rather than putting her details manually and that as well gave error saying that the passport is invalid. Once desperate, i decided to pay for the autocheck-in service not knowing that once i pay, i will still have the same issue. As a last option i decided to pay for the airport check-in service but that was again useless, as i still had to fill in the passport details and was still not able to select the correct birth year. At first, I believed that maybe it was because when we went to Venice my daughter was 11 years old and on our way back from Venice back home she had already turned 12. But that couldn't have been the case since that goes automatically when you have to select the child's age and fill in the personal details the moment you do the booking for the flight. Also, whenever i purchased the extra services such as autocheck-in and airport check-in, i had to pay for the whole family, even though the problem was only for one of them. I ended up spending extra ??? due to some technical issues, and that had nothing to do with my booking or my daughter's passport. Luckily, when we arrived at the airport the lady at the check in desk she was able to help us check-in. When I wrote in to try to get back the money that I payed extra, their response was like a copy-paste version of their ""helping customer guide"" which gave me the feeling that my email wasn't even read fully. Basically I paid extra because of their technical issue and never got a refund from them, or at least a decent response. I even ended up calling them on their 800 number (which is not cheap) and still for nothing.
This company is a complete JOKE.
To top it up, on our way back from Venice to London I was charged extra for my luggage ( the same luggage we went with from London to Venice and it was all good then) . Their excuse was that my bag was to big and it was supposed to be checked in. I was even told that there is no space on the plane for my bag anyhow, that the plane was full. When boarding the plane I realised that there were more than 30 empty spaces. Im guessing that because they didn't made enough sales for their flight they started charging passengers for their bags,... they had to get their money from somewhere. I was definitely not the only one that was charged for their bags that day.
A bunch of sneaky, rude and unprofessional, that have no consideration for parents with small children, pregnant women or anyone else.
Was definitely my last time flying with them, ill choose Ryanair for EasyJet instead.";;no;no;no;app problem/check in problem;no;;;;;;;;;;;;;;;;;;;
2024-09-07T06:50:03.000Z;NL;I recently traveled through Larnaca…;Sold me car hire but never recieve the service.;;no;no;no;didn't receive car hire service;no;;;;;;;;;;;;;;;;;;;
2024-09-19T17:26:35.000Z;ES;Currently sat on the plane;The experience with Airwizz was great because, although it is a low cost company and you have to be alert of possible charges, the check-in, boarding, onboard and arrival were all positive experiences.;;no;no;no;no;yes;;;;;;;;;;;;;;;;;;;
2024-09-08T14:32:06.000Z;GR;Unfair Pricing: Early Booking Penalized;Fraud.they changed our flight three times and at the end the flight left at midnight...we lost one day...they are the worst flight company;;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;
2024-09-08T10:37:20.000Z;GB;Wizzair's Cheap Flights Come with an extremely Cheap service and overall  Costly Experience;Will try and squeeze every penny they can out of you. Would NOT recommend.;;no;no;no;extra fee;no;;;;;;;;;;;;;;;;;;;
2024-09-25T01:57:08.000Z;DE;absolutely trash;;;no;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-09-19T22:26:26.000Z;PT;Wizz Air is the biggest scam of an…;;;no;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-10-18T18:08:39.000Z;GB;Avoid at all cost;;;no;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-10-01T08:39:21.000Z;RS;Great?? & nice Pilot in W6 1364;"they scammed me ?
be aware";;no;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-09-04T12:02:58.000Z;RO;Time and time again Wizzair let us down…;I had to cancel my flight to make another route and they took all my money with no refund and no warning no notice and no info for that charge;;no;no;no;no communication;no;;;;;;;;;;;;;;;;;;;
2024-09-03T10:08:30.000Z;GB;People are very unfriendly;Another over 3 hours delayed flight. Luckily not cancelled or overbooked this time. It is an absolute nightmare. It should have been banned or replaced long time ago.;;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;
2024-09-02T09:21:29.000Z;US;Arrogant Stuff, Scam;Horrible company, I couldn't add luggage to my order, there is nothing on the website, there is no support email. So you just feel you can't do anything, just they offer to call to support for 15 euro. That's the wrorst service i've ever had;;yes;;no;no;no;;;;;;;;;;;;;;;;;;;
2024-09-01T20:17:25.000Z;IT;The worst trip of my life!!;"Difficult to describe how much I hate this company. Every time I promise myself I won't be using Wizzair again but then after a couple of years I forget.
This company today overbooked my flight by 11 people.
11 souls wasted many hours in the airport today to finally be sent home because the flight that they booked never actually had seat for them..
I mean is there any (legal) business strategy more stupid than this?
By law, they will have to compensate more than 3k (250 each plus hotels and transport) total and obviously deal with the complaints.
The lady at the desk literally told me that it was my fault for: A. booking with a low cost airline; B. not doing the check in between 24 and 22 hours before the departure.
This time I promise, never again";;no;no;no;overbooked flight;no;;;;;;;;;;;;;;;;;;;
2024-08-31T09:45:08.000Z;DK;Dont fly in this company  ??????;"Terrible service and ultra poor communication! Wizz Air constantly changes flight times. My journey from Copenhagen to Warsaw, for example, where Wizz Air only 6 weeks before departure, chose to change the departure time by 5-6 hours. For me, it is now the 6th time in the past 2-3 years, that Wizz Air has chosen to move my bookings - sometimes the schedule change is a matter of hours, other times it is a matter of days. Its impossible to plan anything with Wizz Air. I have NEVER experienced this low level of service with other airlines, EVER!!! Contacting Wizz Air to get an explanation for their poor service is also challenging, as you cannot call them and certainly not when it comes to contacting a manager. If you write a message, you get a ""standard reply"", which does not help you at all. My recommendation: use another airline!";;no;no;no;bad communication;no;;;;;;;;;;;;;;;;;;;
2024-08-31T08:47:20.000Z;CH;Expect to be delayed;The guy at the check in counter in Malta told me to wait 10 minutes to check in online otherwise i have to pay, i waited 10 minutrs and i found out I had to pay 45 euros, cause i check in 3 hours before thr flight and i cannot check in online anymore, even thought it was the fault of the guy at the counter, who told me a mistake;;yes;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-31T01:23:47.000Z;GB;This airline is abysmal;Absolutely disgusting airline. Rip off artists, extortionate additional costs for seat selection and hand luggage and don't forget to check in online because if you dare decide to wait to check in at the airport, you will be charged ?50 to get your boarding pass printed. Lousy customer service, cannot even be bothered to respond to complaints. Rude staff, cheap nasty food.... overall the worst airline I have ever used!;;yes;no;no;bad check in process;no;;;;;;;;;;;;;;;;;;;
2024-08-30T22:00:42.000Z;GB;Every time when we used Wizzbair we…are in trouble...;Flown Wizz four times already this year, affordable and landed on time every time (I noticed they allowed longer than probably required for the flight time so that we arrived on time or early). Would recommend the company and I am booked to fly with them again. A larger cabin bag allowance would be an improvement though.;;no;yes;no;;yes;;;;;;;;;;;;;;;;;;;
2024-08-30T16:43:35.000Z;GB;Better to avoid forever;"Went to check in my wife and I yesterday for our flight today which is a joint booking.
Didn’t want to pay extra to choose seats so went with the random selection assuming, like easyJet, they’d apply common sense and seat us together if possible.
Instead we were allocated row 7 and row 39 so couldn’t be further away from each other if we tried! So I thought I’d pay to move 1 of us next to the other.
Cleverly the seat plan showed no availability next to either of our allocated seats but rows and rows of empty seats around the rest of the plane. Absolute con and total rip off.
So I’ve been forced to pay an additional ?32 to sit together and presumably the same will apply on the return flight.
We won’t be flying with them again on principle.";;no;no;no;bad seating;no;;;;;;;;;;;;;;;;;;;
2024-08-30T16:19:02.000Z;QA;Wizzair flight W6 2339 budapest to rome…;Horrible, scammers and thieves. Wizz air decided to cancel my flight and not refund my money. And the cherry on the cake is that I can’t book another flight instead of the cancelled one. So no travelling and no money back. I really don’t know what to say except that you are thieves.;;no;no;no;flight cancelling, no refund;no;;;;;;;;;;;;;;;;;;;
2024-08-30T13:38:04.000Z;GB;The worst airline;"I booked at flight to Budapest, and during the procedure it gave you an option for fast track security at Budapest Airport. On receiving email documents, the only reference to the fast track was on the invoice and what I had paid.
Basically, if you book this through Wizzair, they have no details about it, you are just told its a third party provider and to contact them directly.....yet Wizzair cannot provide you with their details, perfectly happy to take your money, incl. the 45p per minute when you call customer service, who incidentally were a helpful as a chocolate teapot!
Will not be flying with them ever again";;yes;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-30T09:41:57.000Z;PS;Scammers fraud!!!!;Wizz Air canceled my flight and their system to choose a new flight didn't work. When I reached out, they asked me to call their call center, which doesn't accept calls from my country. Despite multiple claims, I received no help. I strongly advise against using this airline;;yes;no;no;flight cancellation;no;;;;;;;;;;;;;;;;;;;
2024-08-30T01:49:10.000Z;BR;0 start or even negative number;"AWFUL!!!
I asked them why they are always late nowadays and they looked at my little bag and charged me 55 euros extra. Them being 1h late wasn't important . Lets focus on bags instead so we can leave even later! If you look at the big angry looking people that they hired it's to no surprise!
If they focused on important things they might be on time and not waste people's time.
Pay extra for other airlines.
Last month in Norway I couldn't even check in because I had bought the ticket from kiwi com.
Kiwi was so embarrassed they sent me that 50.euros I had.to.pay to do a desk checking. Wizzair still has that money though. Douchebags always win. Stop buying their tickets so kind people start winning.
AWFUL company.

STAY AWAY!!!!";;yes;yes;;luggage problem;no;;;;;;;;;;;;;;;;;;;
2024-08-28T23:55:25.000Z;GB;The worst company;A joke. To put it nicely. Wizzair is the scammiest of all airlines. They’re not clear on check ins and check in times secondly I just paid for auto check in ?7.50 down the drain. It said I would get boarding passes sent to my email and nothing. Soo not worth it! Don’t risk it. You’re better off with easy jet!;;no;no;no;check in;no;;;;;;;;;;;;;;;;;;;
2024-08-28T23:26:38.000Z;GB;Airport checkin fee scam;"Blink twice and the charges just added 50€ for breathing, pretty much what happened while paying for priority boarding.

Never again.";;no;no;no;priority boarding;no;;;;;;;;;;;;;;;;;;;
2024-08-28T18:19:37.000Z;DE;Rubbish Company;"**WARNING**WARNING**WARNING**WARNING**

I booked flights in 2020. Due to corona they have been cancelled. Wizz offered 20% added value if not refunded but put on ""Wizz Club Account"". I did so. Booked another flight later. Due to significant schedule change I had to cancel again. After corona then last year I wanted to use MY credit which was around 400,- Euro which I had actually PAID to Wizz before and the 20% value they added.

But : my account was : 0,00 !! My credit was """"""""""expired"""""""""". FULLY ! Even my payment to them !!

I am asking you : HOW CAN THAT BE ??

Well if they would have expired the 20% they added before, we may discuss if this acceptable or not.

But an AMOUNT that I have already paid to Wizz ??

HOW ON EARTH CAN IT EVER EXPIRE ?!?!?!??!?!?

It would be like you have money on a bank account but you leave it there for some time and one day the bank tells you : BYE BYE your money is gone because you did not use it !!!

THATS NOTHING ELSE THAN F R A U D and T H E F T because my own money can never ever expire !!!

Neither did they at any time tell me : attention your ""credit"" will expire !!! Nor did I agree in their terms that I would have had to use it within 1 year...

They are criminals !!

And that is exactly the reason for their newest idea of a ""flight flatrate"" or whatever !!

I can ONLY WARN everybody out there !!

Thats nothing but a cheap funds procurement and you may NEVER EVER SEE YOUR MONEY AGAIN !!

More than 90 % (!!!) negative reviews should tell the truth here... A total sh****t company which nobody needs and should vanish from the skies ASAP !!!

Of course theft, fraud and robbery are highly welcome in our ""Europe of today"" as long as it is committed by big companies which never fear any consequences...

ONCE AGAIN : DO NOT GIVE WIZZAIR YOUR MONEY !! NO CLUB ACCOUNT AND FOR SURE NO TICKET FLATRATE OR WHATEVER BULL***T !!!";;no;no;no;expired credit;no;;;;;;;;;;;;;;;;;;;
2024-08-28T11:07:53.000Z;NL;Boarding threatens to deny boarding for personal reasons;I first had to cancel my trip due to illness. Now I have not been able to get that money back on my bank account but on my Wizz Air account. Now I had to pay this amount for a new flight with Wizz Air within a year. Because there is still illness I have to book a flight with the Flex option so that I can later rebook this flight to another flight. etc. note Flex costs extra money. After I booked a new flight, Wizz Air cancelled this flight and the amount was put back on my account. People who paid via the bank get their money back but I have to book a new flight within a year. I would prefer to just have my money back on my bank account but this is not according to their rules. So beware... do not choose this airline. The communication with them is also very curt and when I call they cannot be understood. A disaster.;;no;no;no;bad communication, no refund;no;;;;;;;;;;;;;;;;;;;
2024-08-28T09:28:28.000Z;GB;The worst experience ever!!!;Now we know how sardines feel. We didn't think plane seats could be smaller than Ryanair, but somehow Wizzair manage it. Don't go for speed boarding as it'll take an hour before everyone's on the plane. Wizzair me once, shame on you, never again.;;no;no;yes;no;no;;;;;;;;;;;;;;;;;;;
2024-08-27T11:18:53.000Z;IT;Total disaster of an Airline;"The flight was canceled at the last moment due to operational reasons. Wizz Air sent a new amendment stating that we are not eligible for compensation.

*Dear Customer,
Thank you for contacting Wizz Air Customer Service Department.
Due to the new amendment in EU Law EC No. 261/2004, you are only entitled to compensation if you were on a delayed flight. In the event that you decide to use an alternative flight, the amount will be refunded to you, but you will not be entitled to compensation.
Please provide us with the receipts for your alternative flight tickets, as well as your bank details, for us to issue the refund.

I would kindly ask you to provide the following bank account details in the reply message for the purpose of returning:
1) IBAN,
2) SWIFT,
3) bank name,
4) name of the account owner,
5) the currency in which the account is kept.
Please confirm the amount by sending bank account details.
Kind regards,*

Does anyone know if this amendment applies only to Wizz Air, or is it a general policy?";;no;no;no;flight cancellation, no refund;no;;;;;;;;;;;;;;;;;;;
2024-08-27T03:41:26.000Z;GB;Got my ticket and im in the plane;It's 4.37am waiting take off Istanbul to Gatwick. Booked paid for priority boarding passenger. It's been an utter joke start to finish not even taken off yet. After lining up to deposit luggage for one hour twenty mins, had to call for assistance though I was passing out. Medical guys were great. This airline is the lowest of the low just one mor of countless problems I've had with Wizz air. Less than useless.;;no;no;no;line to board;no;;;;;;;;;;;;;;;;;;;
2024-08-26T18:17:35.000Z;IL;Poor customer experience.;Terrible service experience + prices for baggage 2-3X than other comparable trips with other companies. I will pay more and NEVER AGAIN risk a trip with Wizzair.com OR .uk. - seems to be the same business.;;yes;no;no;baggage price;no;;;;;;;;;;;;;;;;;;;
2024-08-26T16:06:06.000Z;HR;Very bad experience at warclow airport;Cancelled my flight minutes before takeoff and denied the compensation. Probably the worst airline in Europe.;;no;no;no;flight cancellation, no refund;no;;;;;;;;;;;;;;;;;;;
2024-08-26T12:28:45.000Z;BE;Bad experience - WIZZ Priority;"We got a message that checking in online or at the gate was impossible because of a payment issue which we had to settle.

The FAQ and AI bot were obviously of no use, so we decided to call the Wizzair helpdesk at a paid number. It took around ten minutes to speak to someone, even although we were the third caller. It turned out that there was no payment issue, but they had changed our reserved seats.

In the end, I have had to make a 12 EUR phonecall for an error on their part, and for a 50 EUR flight. That's a 20% price increase you got there!

Afterwards, Wizzair refused to cover the bill, citing terms and conditions that do not apply. We are now trying to get them to pay anyway, out of principle. They could potentially abuse this system to overbook flights. Someone not fluent in English or quick with their computer would have been stranded. Such practices are not acceptable in the EU.";;no;no;no;bad customer service;no;;;;;;;;;;;;;;;;;;;
2024-08-26T00:05:14.000Z;GB;Never ever again;It’s a hassle to book flights on their website. There were too many fields to fill in. The membership price is just pointless. Why not just have one simple price for the flight? Getting the membership was a hassle and most of the time we don’t actually book more than once a year. The website is confusing as well, mixing up Gatwick and Luton. And there is no way you can reach their customer service agents. They probably simply don’t have any!;;no;no;no;bad customer service, bad website;no;;;;;;;;;;;;;;;;;;;
2024-08-25T14:52:17.000Z;GB;A big company what deals unprofessional !!;"Used them twice of course every time they could manage a delay. Probably it was difficult for them,but they made it.
I will never use them again. Uninstalled the application.";;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-25T09:12:20.000Z;AE;Approximately 30 minutes after…;They took my money 300USD but did not confirm flight. After that its been 3 months am following on money refund. Its worst customer service I ever had.;;no;no;no;no refund;no;;;;;;;;;;;;;;;;;;;
2024-08-24T18:49:14.000Z;CY;Wizz will spoil your holiday before you…;I recently traveled through Larnaca Airport and was extremely disappointed with the setup. Despite having two flights—one to Budapest and one to Thessaloniki—there was only a single  checkpoint for all passengers. This caused unnecessary congestion and delays, and the overall process was inefficient and frustrating. The lack of separate checkpoints for different flights made the experience chaotic and stressful. Definitely not what I expected from an international airport. Very poor organization.;;yes;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-24T12:08:59.000Z;GB;Extra charges even more ridiculous than…;"Currently sat on the plane, still on the runway! Departure was scheduled 09:50. It’s 11:00 at time of writing this we’ve all been told we will be waiting for another half an hour!

We boarded at gate 19 at Gatwick and then were made to stand waiting for 40 mins. Then ferried onto three buses! Driven to the other end of the airport! Boarded the plane in pouring rain and everyone was queued waiting, soaked by the time we got on! One bus was delayed by half an hour!

Wait for it, once all on, no fuel! Once that was rectified, no slot for take off!

With the flight time of 3hrs 45mins, plus the two hour time we’ve just sat on the plane stationary, it’ll be edging six hours!

No offer of food or drink!

The plane is very clean and tidy, but is beyond basic!

First time flying with Wizz; last time flying with Wizz and we will never recommend to anyone! First time flying from Gatwick too! No impressed! And it was NOT cheap!";;yes;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-24T09:00:23.000Z;ME;8 hours late and apparently no…;"I am extremely disappointed with my recent experience with Wizz Air. I booked my tickets well in advance, paying a total of 280 EUR, expecting to get a fair price by planning ahead. However, I was shocked to find out that they are now selling the same tickets for just 185 EUR.

It feels incredibly unfair to loyal customers who book early to be penalized with higher prices, while last-minute buyers get a significant discount. This pricing policy is misleading and disrespectful to those of us who trust the airline enough to book in advance. I expected better transparency and fairness from Wizz Air. Unfortunately, this experience has left a very sour taste, and I will seriously reconsider using Wizz Air in the future.";;no;no;no;prricing policy;no;;;;;;;;;;;;;;;;;;;
2024-08-24T05:59:57.000Z;AE;5 hour delay;"Despite being a Wizzair Plus member and selecting a priority tier to ensure a convenient flight for myself and my family—paying extra for the service—my experience with Wizzair was terrible

Wizzair not only offers cheap airfare but also an equally poor experience for its customers.

If you're okay with regular flight delays,
standing for 2 hours during check-in,
paying unnecessary fees due to tricky terms and conditions,
sacrificing your comfort,
receiving terrible service on board,
dealing with rude flight attendants,
and receiving damaged luggage after your flight
then to have your complaints and inquiries ignored

then Wizzair is the perfect nightmare for you.

I felt like being in jail during the flight, with the flight attendants treating you like a prisoner";;yes;yes;no;damaged luggage, line;no;;;;;;;;;;;;;;;;;;;
2024-08-23T17:07:56.000Z;GB;There is no compelling reason to use this airline;absolutely scammer, delay flight for 10 hrs , absolutely a joke , DO NOT FLY WITH WIZZ CATCH THE BUS TO DIFFERENT COUNTRY IF YOU CANNOT FIND ANY FLIGHT STILL IS WORTH IT , TRUST ME !;;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-23T12:57:31.000Z;AU;6 hours later… still waiting to board.;"Wizz Air is the biggest scam of an airline I have ever encountered.
On 31/07/2023, a flight booked through Wizz Air from Milan - Jeddah (the first leg of my trip) was delayed by 1.5 hours, meaning that the 2.5 hour layover time in the airport was cut way too short, and after transferring airports, purchasing a transfer visa, collecting luggage and re-registering it, and going through security at the other end, the next leg of the flight was well and truly missed. It wasn't just myself in this situation - roughly 30 other travellers were affected by this delay.
However, when booking with Wizz Air, I had not only paid for flight cancellation or delay protection, but also a 'self transfer guarantee', meaning that if one leg of the flight was delayed causing me to miss the next leg, then I had the option of either a refund for the first flight, a flight for the rest of there trip organised by the airline, or a flight back to my original destination. As soon as I knew I had to rebook, I tried to call the airline and AirHelp (the site for customer service I was directed to contact by their website) but had no-one pick up for 45 minutes. I then sent an email to AirHelp, but did not receive a reply for 18 hours. During this time, I was stranded alone in Jeddah airport with no other way of contacting the airline, and then had to fork out $2100 for another 2 flights to get me back to Perth, Australia. I instantly lodged a claim to have my flight reimbursed, thinking that as outlined and promised in the policy, I would get my money back. However Wizz refund me for the first leg of the flight, and refused to pay any more. I was left $1500 out of pocket for their mistake, plus the cost of airport food over the course of 24 hours that I had been stranded there - another cost that was promised to be reimbursed in the case of a flight delay. I have now been emailing and calling the company for an entire year, receiving slow, unhelpful replies, after submitting every peace of supporting documentation required to make my case, reciting their own policies back to them and being told I was correct, but they still could not process my request. I've still been neglected in terms of response, am now taking legal action.

Never EVER book with this airline, you will get completely ripped off if absolutely anything goes wrong.";;no;yes;no;bad customer service, no refund;no;;;;;;;;;;;;;;;;;;;
2024-08-22T23:02:37.000Z;GB;Wizzair…. More like unfair!!;Avoid at all cost. 8 out of 10 flights were either delayed or cancelled with short to almost no notice. This airline is just a joke;;no;yes;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-22T18:24:02.000Z;PL;Wizz ?ndrede en flyvning;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-08-22T10:16:11.000Z;GB;Issues with the site, no help, no refunds, horrible treatment;Time and time again Wizzair let us down . If zero was a rating that is what they would get . Sadly we are limited to using this airline . Customer service is non existent and when it gets tough the Wizzair ground staff mysteriously disappear. I am writing as I have a new 2 hour delay but this happens more than 50% of all flights and I am a frequent flier .;;yes;yes;no;bad customer service;no;;;;;;;;;;;;;;;;;;;
2024-08-22T08:45:01.000Z;NL;Scum of the earth;People are very unfriendly, they treat you like kettle, are super anal about bag size. JUST DON’T BOOK WHIZZAIR;;yes;no;no;no;no;;;;;;;;;;;;;;;;;;;
2024-08-21T21:59:41.000Z;GB;easily the worst airline i have ever…;"I booked two tickets through Mytrip.com for September 1st, but the tickets were mistakenly processed for October 1st. by their system. Despite encountering repeated card errors and abandoning the transaction, Mytrip.com processed the payment without any confirmation or notification. This situation is highly concerning.

Further complicating matters, my attempt to resolve an issue with Wizz Air, where I requested a refund for extra legroom space if they cant refund for the mistake that they made, resulted in even more frustration. Instead of receiving the refund, my flight was canceled! and the customer service was extremely arrogant and unhelpful. Their dismissive attitude and refusal to address the issue properly have left me very disappointed.

Overall, the combination of booking errors, unauthorized charges, and poor customer service has been a dreadful experience. I am now seeking a full refund for the entire trip and related costs.
No resolution yet i will also carry the case to the court";;no;no;no;bad customer service, no refund;no;;;;;;;;;;;;;;;;;;;
2024-08-21T11:04:19.000Z;HR;Unsure how Wizzair has managed to get…;The worst trip of my life!!! 14 hours overnight delay, delay with giving us a hotel, and finally losing my suitcase!!! I never received any news or updates. I can't believe, I live in NYC and I never experienced such bad treatment. There was not one person in charge for WizzAir anywhere on sight. Receiving communication from the airline hours after something happened!!;;no;yes;no;lost luggage, no communication;no;;;;;;;;;;;;;;;;;;;
2024-08-20T09:58:07.000Z;AL;its cheap;;;no;no;no;no;yes;;;;;;;;;;;;;;;;;;;
2024-08-20T09:45:41.000Z;GB;DO NOT BOOK A TRIP WITH WIZZAIR!;Most recent flight delayed from 2pm to 2am. Overall Wizz Air is a guaranteed delayed flight.;;NO;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;
2024-08-19T23:17:00.000Z;GB;Horrible experience;This airline is abysmal. Their website has been built by a 3-year-old. They charge for auto check-in & it doesn't work. You can't call their call centre unless you want to pay ?15. You have to pay for an airport check-in. My blood pressure is through the roof trying to check my family & I in!!!;;YES;NO;NO;Website, extra fees;NO;;;;;;;;;;;;;;;;;;;
2024-08-19T08:25:04.000Z;UA;Not a big issue but could do better;"Every time when we used Wizzair we think that it couldn't be worse, but no. Wow, every single flight Wizzair makes it from bad to worse.
This time it was Flight N W6 2093 from Krakow to Abudhabi 17.08.2024.
We booked our tickets many months ago and our seats were 7B and 7C.
But, first of all, girl which was trying to serves us in registration ( her place was N33) forgot to give us boarding passes! Wow! So pleasant staff. Wonder, how we should go to plane without it.
Secondly and this is our main complaint, she gave us another seats. 9B and 7D, to made us separate with sister. Also, I registered us few days before, no changing in our seats was in website.
When we started complaining, she laying to us that Wizzair changed plane in last minute and that's why all seats were changing. False, because we asked flight attendance and they told us, no one change the plane.
If she told us, that sometimes system may change places it's fine, but what the reason to told a false? Also, she took our Ukrainian passports and asked if we speak Ukrainian?
Please, may you provide special training for your staff and teach them that usually all nationalities are speaking with their native language. She didn't want to tell us what's happened and just send us to Wizzair station in Krakow Airport to speak man which was free but rude when spoke with us.
In plane we noticed that no one have problems with seats. Only we. Unfair a little bit, we booked, payed and registered in our booking seats, so why your system changes only our places?
We don't want to sit near men or crying child. We want to sit together, we are family, but you give our seats to another people.
Next time make a fun, change seats for everyone.
Last, staff in plane were fine, polite and educated (see, Wizzair, it's possible!), but weird that in the end of plane, was working only one toilet, another one was using only by flight attendance and it were long big queue because of it.";;YES;NO;YES;NO;NO;;;;;;;;;;;;;;;;;;;
2024-08-19T00:00:14.000Z;GB;Terrible customer service and…;Better to avoid forever, the worst customer service and company in the universe, customer service less than zero orrible;;YES;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;
